FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.89,POINT (8.2709379 49.1623302),115839,Walnuss,Unbekannt,76761,Rülzheim,3x große Bäume,2023-07-16 10:38:00,https://mundraub.org/node/115839
MRN_mundraub_4326_Point.90,POINT (8.3128535 49.1623688),116562,Apfel,L 493,76761,Rülzheim,Mehrere sorten,2023-08-01 16:32:00,https://mundraub.org/node/116562
MRN_mundraub_4326_Point.91,POINT (8.2480061 49.1624215),115849,Hagebutte,Unbekannt,76863,Herxheim,1x großer strauch,2023-07-16 11:16:00,https://mundraub.org/node/115849
MRN_mundraub_4326_Point.92,POINT (8.3007724 49.1626049),116384,Haselnuss,Hubenweg,76761,Rülzheim,1x,2023-07-29 21:18:00,https://mundraub.org/node/116384
MRN_mundraub_4326_Point.93,POINT (8.2478227 49.1626362),115850,Schlehe,Unbekannt,76863,Herxheim,In den Brombeeren,2023-07-16 11:18:00,https://mundraub.org/node/115850
MRN_mundraub_4326_Point.94,POINT (8.2729572 49.1628705),115837,Walnuss,Unbekannt,76761,Rülzheim,3x große,2023-07-16 10:36:00,https://mundraub.org/node/115837
MRN_mundraub_4326_Point.95,POINT (8.2478504 49.162926),115851,Schlehe,Unbekannt,76863,Herxheim,3x den Brombeeren,2023-07-16 11:23:00,https://mundraub.org/node/115851
MRN_mundraub_4326_Point.96,POINT (8.2478648 49.1629965),115852,Birne,Unbekannt,76863,Herxheim,2x,2023-07-16 11:23:00,https://mundraub.org/node/115852
MRN_mundraub_4326_Point.97,POINT (8.2799649 49.1641858),115836,Apfel,Bellheimer Weg,76761,Rülzheim,Straßenrand ist mit diversen Obstbäumen bepflanzt,2023-07-16 10:31:00,https://mundraub.org/node/115836
MRN_mundraub_4326_Point.98,POINT (8.2469976 49.1643513),115853,Birne,Unbekannt,76863,Herxheim,1x,2023-07-16 11:27:00,https://mundraub.org/node/115853
MRN_mundraub_4326_Point.99,POINT (8.2468665 49.1647605),115854,Mirabelle,Unbekannt,76863,Herxheim,5x,2023-07-16 11:28:00,https://mundraub.org/node/115854
MRN_mundraub_4326_Point.100,POINT (8.2468531 49.1650325),115855,Apfel,Unbekannt,76863,Herxheim,Diverse sorten,2023-07-16 11:29:00,https://mundraub.org/node/115855
MRN_mundraub_4326_Point.101,POINT (8.2466977 49.165394),115856,Kirsche,Unbekannt,76863,Herxheim,3x,2023-07-16 11:30:00,https://mundraub.org/node/115856
MRN_mundraub_4326_Point.102,POINT (8.2465985 49.1656553),115857,Pflaume,Unbekannt,76863,Herxheim,1x,2023-07-16 11:30:00,https://mundraub.org/node/115857
